DFB Year,Region,Region Desc,Number of Fish,Species Code,Species Name,Management Area
1989,1,Southeastern Region,1153056,450,"salmon, chum",B
1989,1,Southeastern Region,207854,450,"salmon, chum",C
1989,1,Southeastern Region,262876,450,"salmon, chum",D
1989,2,Central Region,32006,410,"salmon, chinook",E
1989,2,Central Region,28649,410,"salmon, chinook",H
1989,2,Central Region,39760,410,"salmon, chinook",T
1989,2,Central Region,1175176,420,"salmon, sockeye",E
1989,2,Central Region,5184601,420,"salmon, sockeye",H
1989,2,Central Region,28735306,420,"salmon, sockeye",T
1989,2,Central Region,424980,430,"salmon, coho",E
1989,2,Central Region,351060,430,"salmon, coho",H
1989,2,Central Region,239834,430,"salmon, coho",T
1989,2,Central Region,21886274,440,"salmon, pink",E
1989,2,Central Region,1364674,440,"salmon, pink",H
1989,2,Central Region,438,440,"salmon, pink",T
1989,2,Central Region,1001621,450,"salmon, chum",E
1989,2,Central Region,134796,450,"salmon, chum",H
1989,2,Central Region,1258808,450,"salmon, chum",T
1989,3,A-Y-K Region,67003,410,"salmon, chinook",W
1989,3,A-Y-K Region,87,410,"salmon, chinook",X
1989,3,A-Y-K Region,96918,410,"salmon, chinook",Y
1989,3,A-Y-K Region,5707,410,"salmon, chinook",Z
1989,3,A-Y-K Region,82628,420,"salmon, sockeye",W
1989,3,A-Y-K Region,,420,"salmon, sockeye",Y
1989,3,A-Y-K Region,,420,"salmon, sockeye",Z
1989,3,A-Y-K Region,556312,430,"salmon, coho",W
1989,3,A-Y-K Region,68405,430,"salmon, coho",Y
1989,3,A-Y-K Region,44091,430,"salmon, coho",Z
1989,3,A-Y-K Region,819,440,"salmon, pink",W
1989,3,A-Y-K Region,,440,"salmon, pink",Y
1989,3,A-Y-K Region,,440,"salmon, pink",Z
1989,3,A-Y-K Region,802193,450,"salmon, chum",W
1989,3,A-Y-K Region,256017,450,"salmon, chum",X
1989,3,A-Y-K Region,1106284,450,"salmon, chum",Y
1989,3,A-Y-K Region,,450,"salmon, chum",Z
1989,4,Westward Region,106,410,"salmon, chinook",K
1989,4,Westward Region,3542,410,"salmon, chinook",L
1989,4,Westward Region,17951,410,"salmon, chinook",M
1989,4,Westward Region,1287663,420,"salmon, sockeye",K
1989,4,Westward Region,1152854,420,"salmon, sockeye",L
1989,4,Westward Region,4385820,420,"salmon, sockeye",M
1989,4,Westward Region,2599,430,"salmon, coho",K
1989,4,Westward Region,68233,430,"salmon, coho",L
1989,4,Westward Region,668948,430,"salmon, coho",M
1989,4,Westward Region,6825111,440,"salmon, pink",K
1989,4,Westward Region,27712,440,"salmon, pink",L
1989,4,Westward Region,7299933,440,"salmon, pink",M
1989,4,Westward Region,19964,450,"salmon, chum",K
1989,4,Westward Region,1624,450,"salmon, chum",L
1989,4,Westward Region,1150572,450,"salmon, chum",M
1990,1,Southeastern Region,87146,410,"salmon, chinook",A
1990,1,Southeastern Region,89833,410,"salmon, chinook",B
1990,1,Southeastern Region,48193,410,"salmon, chinook",C
1990,1,Southeastern Region,114551,410,"salmon, chinook",D
1990,1,Southeastern Region,856435,420,"salmon, sockeye",A
1990,1,Southeastern Region,1064569,420,"salmon, sockeye",B
1990,1,Southeastern Region,215918,420,"salmon, sockeye",C
1990,1,Southeastern Region,10881,420,"salmon, sockeye",D
1990,1,Southeastern Region,827512,430,"salmon, coho",A
1990,1,Southeastern Region,871671,430,"salmon, coho",B
1990,1,Southeastern Region,348728,430,"salmon, coho",C
1990,1,Southeastern Region,761207,430,"salmon, coho",D
1990,1,Southeastern Region,1884338,440,"salmon, pink",A
1990,1,Southeastern Region,25185264,440,"salmon, pink",B
1990,1,Southeastern Region,3350954,440,"salmon, pink",C
1990,1,Southeastern Region,1469221,440,"salmon, pink",D
1990,1,Southeastern Region,603425,450,"salmon, chum",A
1990,1,Southeastern Region,768902,450,"salmon, chum",B
1990,1,Southeastern Region,230697,450,"salmon, chum",C
1990,1,Southeastern Region,585295,450,"salmon, chum",D
1990,2,Central Region,22161,410,"salmon, chinook",E
1990,2,Central Region,17665,410,"salmon, chinook",H
1990,2,Central Region,33993,410,"salmon, chinook",T
1990,2,Central Region,911144,420,"salmon, sockeye",E
1990,2,Central Region,3808605,420,"salmon, sockeye",H
1990,2,Central Region,33444279,420,"salmon, sockeye",T
1990,2,Central Region,524296,430,"salmon, coho",E
